Film_title,Release_year,Director,Average_rating,Letterboxd URL
G.B.F.,2013,Darren Stein,2.36,https://letterboxd.com//film/gbf/
The Mistle-Tones,2012,Paul Hoen,2.87,https://letterboxd.com//film/the-mistle-tones/
Drew Michael,2018,Jerrod Carmichael,3.4,https://letterboxd.com//film/drew-michael/
Sharpay's Fabulous Adventure,2011,Michael Lembeck,2.35,https://letterboxd.com//film/sharpays-fabulous-adventure/
Barcode,2016,Mostafa Kiaei,1.85,https://letterboxd.com//film/barcode-2016/
Moms' Night Out,2014,"Jon Erwin, Andrew Erwin",2.36,https://letterboxd.com//film/moms-night-out/
Eternity,2016,Tran Anh Hung,2.84,https://letterboxd.com//film/eternity-2016/
Minions,2015,"Kyle Balda, Pierre Coffin",2.43,https://letterboxd.com//film/minions/
Rip Tide,2017,Rhiannon Bannenberg,2.17,https://letterboxd.com//film/rip-tide/
How the 'Dook Stole Christmas,2014,Jennifer Kent,2.74,https://letterboxd.com//film/how-the-dook-stole-christmas/
Sleepover,2004,Joe Nussbaum,2.66,https://letterboxd.com//film/sleepover/
The Butterfly Circus,2009,Joshua Weigel,2.96,https://letterboxd.com//film/the-butterfly-circus/
For Y'ur Height Only,1981,Eddie Nicart,3.03,https://letterboxd.com//film/for-yur-height-only/
A Woman Throwing on a Shawl,1887,Eadweard Muybridge,2.79,https://letterboxd.com//film/a-woman-throwing-on-a-shawl/
The Silence of the Hams,1994,Ezio Greggio,2.19,https://letterboxd.com//film/the-silence-of-the-hams/
,1998,Stan Brakhage,2.93,https://letterboxd.com//film/reel-five/
Pan 697,1974,Hollis Frampton,2.36,https://letterboxd.com//film/pan-697/
The Guy From Harlem,1977,Rene Martinez Jr.,1.95,https://letterboxd.com//film/the-guy-from-harlem/
Don't Let the Riverbeast Get You!,2012,Charles Roxburgh,3.65,https://letterboxd.com//film/dont-let-the-riverbeast-get-you/
I Melt with You,2011,Mark Pellington,2.66,https://letterboxd.com//film/i-melt-with-you/
Breath,2016,Narges Abyar,3.12,https://letterboxd.com//film/breath-2016/
Morning Walk,2008,"Nathan Fielder, Chris Locke",3.88,https://letterboxd.com//film/morning-walk-2008/
The New Adventures of Aladdin,2015,Arthur Benzaquen,1.76,https://letterboxd.com//film/the-new-adventures-of-aladdin/
Barbie: The Pearl Princess,2014,Ezekiel Norton,2.87,https://letterboxd.com//film/barbie-the-pearl-princess/
Traces of Death,1993,Damon Fox,2.18,https://letterboxd.com//film/traces-of-death/
The Ultimate Gift,2006,Michael O. Sajbel,2.85,https://letterboxd.com//film/the-ultimate-gift/
Housefull 2,2012,Sajid Khan,2.33,https://letterboxd.com//film/housefull-2/
Alvin and the Chipmunks: Chipwrecked,2011,Mike Mitchell,1.67,https://letterboxd.com//film/alvin-and-the-chipmunks-chipwrecked/
Helluva Boss,2019,Vivienne Medrano,3.2,https://letterboxd.com//film/helluva-boss/
Coastal Elites,2020,Jay Roach,2.58,https://letterboxd.com//film/coastal-elites/
Barbie in the Nutcracker,2001,Owen Hurley,3.24,https://letterboxd.com//film/barbie-in-the-nutcracker/
Nekromantik 2,1991,Jörg Buttgereit,2.99,https://letterboxd.com//film/nekromantik-2/
Girl vs. Monster,2012,Stuart Gillard,2.27,https://letterboxd.com//film/girl-vs-monster/
Polícia Federal: A Lei é Para Todos - Os Bastidores da Operação Lava Jato,2017,Marcelo Antunez,2.23,https://letterboxd.com//film/policia-federal-a-lei-e-para-todos-os-bastidores-da-operacao-lava-jato/
Frank Film,1973,"Caroline Mouris, Frank Mouris",3.28,https://letterboxd.com//film/frank-film/
Can't Stop the Music,1980,Nancy Walker,2.34,https://letterboxd.com//film/cant-stop-the-music/
Shotgun,1989,Addison Randall,3.07,https://letterboxd.com//film/shotgun-1989/
Freeway II: Confessions of a Trickbaby,1999,Matthew Bright,3.12,https://letterboxd.com//film/freeway-ii-confessions-of-a-trickbaby/
Violence Jack: Evil Town,1988,Ichiro Itano,2.78,https://letterboxd.com//film/violence-jack-evil-town/
Baise-moi,2000,"Virginie Despentes, Coralie Trinh Thi",2.28,https://letterboxd.com//film/baise-moi/
Thanatomorphose,2012,Éric Falardeau,2.61,https://letterboxd.com//film/thanatomorphose/
That Wasn't Me,2012,Esteban Crespo,2.87,https://letterboxd.com//film/that-wasnt-me/
Fallen,2016,Scott Hicks,1.82,https://letterboxd.com//film/fallen-2016/
iParty with Victorious,2011,Steve Hoefer,3.36,https://letterboxd.com//film/iparty-with-victorious/
Sharknado 2: The Second One,2014,Anthony C. Ferrante,1.82,https://letterboxd.com//film/sharknado-2-the-second-one/
Lord of Tears,2013,Lawrie Brewster,2.55,https://letterboxd.com//film/lord-of-tears/
Space Cop,2016,"Mike Stoklasa, Jay Bauman",2.76,https://letterboxd.com//film/space-cop/
Undefeatable,1993,Godfrey Ho,2.82,https://letterboxd.com//film/undefeatable/
Monster Pies,2013,Lee Galea,2.76,https://letterboxd.com//film/monster-pies/
A December Bride,2016,David Winning,2.9,https://letterboxd.com//film/a-december-bride-2016/
Light Is Waiting,2007,Michael Robinson,3.37,https://letterboxd.com//film/light-is-waiting/
River of Fundament,2014,Matthew Barney,3.74,https://letterboxd.com//film/river-of-fundament/
M for Mother,2006,Rasoul Mollagholipour,3.06,https://letterboxd.com//film/m-for-mother/
Daddy Issues,2019,Amara Cash,1.98,https://letterboxd.com//film/daddy-issues/
The Rat,2019,Faisal Al-Amir,1.46,https://letterboxd.com//film/the-rat-2019-1/
Best F(r)iends: Volume 2,2018,Justin MacGregor,2.65,https://letterboxd.com//film/best-friends-volume-2/
Nothing but Trouble,1991,Dan Aykroyd,2.35,https://letterboxd.com//film/nothing-but-trouble/
Vivah,2006,Sooraj Barjatya,2.86,https://letterboxd.com//film/vivah/
Microwave Massacre,1979,Wayne Berwick,2.18,https://letterboxd.com//film/microwave-massacre/
Jem and the Holograms,2015,Jon M. Chu,1.84,https://letterboxd.com//film/jem-and-the-holograms/
Switched for Christmas,2017,Lee Friedlander,2.72,https://letterboxd.com//film/switched-for-christmas/
The Search for Santa Paws,2010,Robert Vince,2.12,https://letterboxd.com//film/the-search-for-santa-paws/
A Christmas Melody,2015,Mariah Carey,2.43,https://letterboxd.com//film/a-christmas-melody/
Mamma Mia!,2008,Phyllida Lloyd,3.48,https://letterboxd.com//film/mamma-mia/
Hard Rock Zombies,1985,Krishna Shah,2.56,https://letterboxd.com//film/hard-rock-zombies/
"Didi, o Cupido Trapalhão",2003,"Paulo Aragão, Alexandre Boury",1.98,https://letterboxd.com//film/didi-o-cupido-trapalhao/
Mad Foxes,1981,Paul Grau,3.15,https://letterboxd.com//film/mad-foxes/
Descendants,2015,Kenny Ortega,2.75,https://letterboxd.com//film/descendants-2015/
A Royal Christmas,2014,Alex Zamm,2.79,https://letterboxd.com//film/a-royal-christmas/
The Hunters,2013,Nisha Ganatra,2.36,https://letterboxd.com//film/the-hunters-2013/
I Married an Anti-Fan,2016,Kim Jae-Young,2.54,https://letterboxd.com//film/i-married-an-anti-fan/
Jeff Dunham: Beside Himself,2019,Troy Miller,2.98,https://letterboxd.com//film/jeff-dunham-beside-himself/
The Abomination,1986,Bret McCormick,3.04,https://letterboxd.com//film/the-abomination/
Ana e Vitória,2018,Matheus Souza,2.96,https://letterboxd.com//film/ana-e-vitoria/
Nine Lives,2016,Barry Sonnenfeld,1.65,https://letterboxd.com//film/nine-lives-2016/
"Silent Night, Deadly Night Part 2",1987,Lee Harry,2.35,https://letterboxd.com//film/silent-night-deadly-night-part-2/
Edison Kinetoscopic Record of a Sneeze,1894,"William K.L. Dickson, William Heise",2.52,https://letterboxd.com//film/edison-kinetoscopic-record-of-a-sneeze/
Premutos: Lord of the Living Dead,1997,Olaf Ittenbach,3.11,https://letterboxd.com//film/premutos-lord-of-the-living-dead/
Barbie: A Fashion Fairytale,2010,William Lau,3.43,https://letterboxd.com//film/barbie-a-fashion-fairytale/
Bad Ben - The Mandela Effect,2018,Nigel Bach,2.61,https://letterboxd.com//film/bad-ben-the-mandela-effect/
Waiting for Forever,2010,James Keach,2.45,https://letterboxd.com//film/waiting-for-forever/
Bloody Bloody Bible Camp,2012,Vito Trabucco,2.55,https://letterboxd.com//film/bloody-bloody-bible-camp/
Barbie as the Island Princess,2007,Greg Richardson,3.36,https://letterboxd.com//film/barbie-as-the-island-princess/
Free the Nipple,2014,Lina Esco,2.41,https://letterboxd.com//film/free-the-nipple/
Lost Horizon,1973,Charles Jarrott,2.45,https://letterboxd.com//film/lost-horizon-1973/
Wedding Association,2013,Selçuk Aydemir,2.47,https://letterboxd.com//film/wedding-association/
Merry Kissmas,2015,Michael Feifer,2.06,https://letterboxd.com//film/merry-kissmas/
The Hot Chick,2002,Tom Brady,2.23,https://letterboxd.com//film/the-hot-chick/
Guinea Pig 4: Devil Woman Doctor,1986,Hajime Tabe,2.54,https://letterboxd.com//film/guinea-pig-4-devil-woman-doctor/
Rent,2005,Chris Columbus,3.22,https://letterboxd.com//film/rent/
Honey 2,2011,Bille Woodruff,2.47,https://letterboxd.com//film/honey-2/
Beauty & the Briefcase,2010,Gil Junger,2.28,https://letterboxd.com//film/beauty-the-briefcase/
Bring It On: In It to Win It,2007,Steve Rash,2.43,https://letterboxd.com//film/bring-it-on-in-it-to-win-it/
My Perfect Romance,2018,Justin G. Dyck,1.85,https://letterboxd.com//film/my-perfect-romance/
Wendy Williams: The Movie,2021,Darren Grant,2.56,https://letterboxd.com//film/wendy-williams-the-movie/
The Butcher,2008,Kim Jin-won,2.57,https://letterboxd.com//film/the-butcher-2008/
Camp Rock 2: The Final Jam,2010,Paul Hoen,2.53,https://letterboxd.com//film/camp-rock-2-the-final-jam/
Top Cat: The Movie,2011,Alberto Mar,2.08,https://letterboxd.com//film/top-cat-the-movie/
Tambourine,2008,Parisa Bakhtavar,2.6,https://letterboxd.com//film/tambourine/
Ghostbusters,2016,Paul Feig,2.52,https://letterboxd.com//film/ghostbusters-2016/
That's So Suite Life of Hannah Montana,2007,Rich Correll,3.01,https://letterboxd.com//film/thats-so-suite-life-of-hannah-montana/
Young Rebels,1989,Amir Shervan,2.81,https://letterboxd.com//film/young-rebels/
A New York Christmas Wedding,2020,Otoja Abit,2.2,https://letterboxd.com//film/a-new-york-christmas-wedding/
Grown Ups,2010,Dennis Dugan,2.34,https://letterboxd.com//film/grown-ups/
Robot Holocaust,1986,Tim Kincaid,2.02,https://letterboxd.com//film/robot-holocaust/
mother!,2017,Darren Aronofsky,3.47,https://letterboxd.com//film/mother-2017/
The Glass Agency,1998,Ebrahim Hatamikia,2.84,https://letterboxd.com//film/the-glass-agency/
Voll Normaaal,1994,Ralf Huettner,2.6,https://letterboxd.com//film/voll-normaaal/
Barbie and the Three Musketeers,2009,William Lau,3.38,https://letterboxd.com//film/barbie-and-the-three-musketeers/
The Wild Soccer Bunch 5,2008,Joachim Masannek,1.8,https://letterboxd.com//film/the-wild-soccer-bunch-5/
Loving Annabelle,2006,Katherine Brooks,2.29,https://letterboxd.com//film/loving-annabelle/
Never Too Young to Die,1986,Gil Bettman,2.84,https://letterboxd.com//film/never-too-young-to-die/
Swiped to Death,2019,Elaine Mongeon,2.61,https://letterboxd.com//film/swiped-to-death/
Fairy Tail: Dragon Cry,2017,Tatsuma Minamikawa,3.01,https://letterboxd.com//film/fairy-tail-dragon-cry/
Expelled,2014,Alex Goyette,1.48,https://letterboxd.com//film/expelled/
Caniba,2017,"Lucien Castaing-Taylor, Véréna Paravel",2.93,https://letterboxd.com//film/caniba/
The Lion King,2019,Jon Favreau,2.82,https://letterboxd.com//film/the-lion-king-2019/
Triple Dog,2010,Pascal Franchot,2.44,https://letterboxd.com//film/triple-dog/
Mario Banana I,1964,Andy Warhol,2.71,https://letterboxd.com//film/mario-banana-i/
Ein's Summer Vacation,2012,,3.28,https://letterboxd.com//film/eins-summer-vacation/
Gotti,2018,Kevin Connolly,1.46,https://letterboxd.com//film/gotti/
Scooby-Doo,2002,Raja Gosnell,2.85,https://letterboxd.com//film/scooby-doo/
Avalon High,2010,Stuart Gillard,2.44,https://letterboxd.com//film/avalon-high/
The Host,2013,Andrew Niccol,2.34,https://letterboxd.com//film/the-host-2013/
Rampage: Capital Punishment,2014,Uwe Boll,2.48,https://letterboxd.com//film/rampage-capital-punishment/
Radio Rebel,2012,Peter Howitt,2.03,https://letterboxd.com//film/radio-rebel/
Swindle,2013,Jonathan Judge,2.54,https://letterboxd.com//film/swindle-2013/
The Paternal House,2012,Kianush Ayyari,2.95,https://letterboxd.com//film/the-paternal-house/
Santa and the Ice Cream Bunny,1972,R. Winer,1.34,https://letterboxd.com//film/santa-and-the-ice-cream-bunny/
The Refrigerator,1991,Nicholas Jacobs,2.42,https://letterboxd.com//film/the-refrigerator/
The Swap,2016,Jay Karas,2.44,https://letterboxd.com//film/the-swap-2016/
Twixt,2011,Francis Ford Coppola,2.51,https://letterboxd.com//film/twixt/
Badder Ben: The Final Chapter,2017,Nigel Bach,2.68,https://letterboxd.com//film/badder-ben-the-final-chapter/
Dog Star Man: Part I,1963,Stan Brakhage,3.41,https://letterboxd.com//film/dog-star-man-part-i/
Santa Buddies,2009,Robert Vince,1.91,https://letterboxd.com//film/santa-buddies/
88:88,2015,Isiah Medina,3.49,https://letterboxd.com//film/88-88-2015/
Battle in Heaven,2005,Carlos Reygadas,2.94,https://letterboxd.com//film/battle-in-heaven/
Headless,2015,Arthur Cullipher,2.84,https://letterboxd.com//film/headless-2015/
M.D. Geist,1986,"Koichi Ohata, Hayato Ikeda",2.74,https://letterboxd.com//film/md-geist/
Doogal,2006,"Frank Passingham, Dave Borthwick",1.43,https://letterboxd.com//film/doogal/
Recep Ivedik 4,2014,Togan Gökbakar,1.5,https://letterboxd.com//film/recep-ivedik-4/
The Tomb of Dracula,1980,"Minoru Okazaki, Akinori Nagaoka",2.77,https://letterboxd.com//film/the-tomb-of-dracula/
Boogeyman II,1983,"Ulli Lommel, Bruce Starr",1.82,https://letterboxd.com//film/boogeyman-ii/
Alone,2008,Çağan Irmak,2.73,https://letterboxd.com//film/alone-2008/
A Haunted House 2,2014,Michael Tiddes,1.79,https://letterboxd.com//film/a-haunted-house-2/
Bring It On: Fight to the Finish,2009,Bille Woodruff,2.42,https://letterboxd.com//film/bring-it-on-fight-to-the-finish/
Hadi Be Oğlum,2018,Bora Egemen,3.07,https://letterboxd.com//film/hadi-be-oglum/
The Blue Flower of Novalis,2018,"Gustavo Vinagre, Rodrigo Carneiro",2.85,https://letterboxd.com//film/the-blue-flower-of-novalis/
Love,2015,Gaspar Noé,3.1,https://letterboxd.com//film/love-2015/
Resident Evil: Retribution,2012,Paul W. S. Anderson,2.45,https://letterboxd.com//film/resident-evil-retribution/
Barbie of Swan Lake,2003,Owen Hurley,3.36,https://letterboxd.com//film/3-2003-1/
The Garbage Pail Kids Movie,1987,Rod Amateau,1.44,https://letterboxd.com//film/the-garbage-pail-kids-movie/
Outlaws and Angels,2016,JT Mollner,2.6,https://letterboxd.com//film/outlaws-and-angels/
She's Dating the Gangster,2014,Cathy Garcia-Molina,2.81,https://letterboxd.com//film/shes-dating-the-gangster/
Knives and Skin,2019,Jennifer Reeder,2.78,https://letterboxd.com//film/knives-and-skin/
A Dragon Arrives!,2016,Mani Haghighi,3.03,https://letterboxd.com//film/a-dragon-arrives/
The Fanatic,2019,Fred Durst,1.54,https://letterboxd.com//film/the-fanatic/
Monster High: Haunted,2015,"William Lau, Dan Fraga",3.26,https://letterboxd.com//film/monster-high-haunted/
I Am Afraid to Forget Your Face,2020,Sameh Alaa,3.19,https://letterboxd.com//film/i-am-afraid-to-forget-your-face/
Barbie and the Magic of Pegasus 3-D,2005,Greg Richardson,3.38,https://letterboxd.com//film/barbie-and-the-magic-of-pegasus-3-d/
Monster High: Scaris City of Frights,2013,"Steve Ball, Andrew Duncan",3.26,https://letterboxd.com//film/monster-high-scaris-city-of-frights/
The Fish,2010,Lucrecia Martel,3.15,https://letterboxd.com//film/the-fish-2010/
Space Buddies,2009,Robert Vince,1.87,https://letterboxd.com//film/space-buddies/
Below Her Mouth,2016,April Mullen,2.07,https://letterboxd.com//film/below-her-mouth/
Beverly Hills Chihuahua 2,2011,Alex Zamm,1.68,https://letterboxd.com//film/beverly-hills-chihuahua-2/
"Ah, L'Amour",1995,Don Hertzfeldt,2.87,https://letterboxd.com//film/ah-lamour/
Shorts,2009,Robert Rodriguez,1.81,https://letterboxd.com//film/shorts/
"ariana grande: excuse me, i love you",2020,Paul Dugdale,3.64,https://letterboxd.com//film/ariana-grande-excuse-me-i-love-you/
Chinese Series,2003,Stan Brakhage,3.05,https://letterboxd.com//film/chinese-series/
No. 12: Heaven and Earth Magic,1962,Harry Smith,2.88,https://letterboxd.com//film/no-12-heaven-and-earth-magic/
