Film_title,Release_year,Director,Average_rating,Letterboxd URL
Robot in the Family,1994,"Mark Harry Richardson, Jack Shaoul",1.75,https://letterboxd.com//film/robot-in-the-family/
Barney's Great Adventure,1998,Steve Gomer,2.2,https://letterboxd.com//film/barneys-great-adventure/
Feeders,1996,"Mark Polonia, Jon McBride",2.46,https://letterboxd.com//film/feeders/
Dear Dumb Diary,2013,Kristin Hanggi,2.56,https://letterboxd.com//film/dear-dumb-diary/
Guardians of Life,2020,Shaun Monson,2.57,https://letterboxd.com//film/guardians-of-life/
Man,2012,Steve Cutts,2.91,https://letterboxd.com//film/man/
American Skin,2019,Nate Parker,2.91,https://letterboxd.com//film/american-skin/
Quigley,2003,William Byron Hillman,1.82,https://letterboxd.com//film/quigley/
Life Itself,2018,Dan Fogelman,2.7,https://letterboxd.com//film/life-itself-2018/
Terror Toons,2002,Joe Castro,2.36,https://letterboxd.com//film/terror-toons/
Eat My Shit,2015,Eduardo Casanova,2.09,https://letterboxd.com//film/eat-my-shit/
Feeders 2: Slay Bells,1998,"Mark Polonia, John Polonia",2.57,https://letterboxd.com//film/feeders-2-slay-bells/
The Apple,1980,Menahem Golan,2.6,https://letterboxd.com//film/the-apple/
The Red Pill,2016,Cassie Jaye,2.94,https://letterboxd.com//film/the-red-pill/
Jesus Christ Vampire Hunter,2001,Lee Demarbre,2.66,https://letterboxd.com//film/jesus-christ-vampire-hunter/
The Chickening,2015,"Nick DenBoer, Davy Force",2.59,https://letterboxd.com//film/the-chickening/
What the #$*! Do We (K)now!?,2004,"William Arntz, Betsy Chasse",2.02,https://letterboxd.com//film/what-the-do-we-know/
The Brown Bunny,2003,Vincent Gallo,3.09,https://letterboxd.com//film/the-brown-bunny/
Fireproof,2008,Alex Kendrick,2.18,https://letterboxd.com//film/fireproof/
Zeitgeist,2007,Peter Joseph,2.86,https://letterboxd.com//film/zeitgeist/
Hush! Girls Don't Scream,2013,Pouran Derakhshande,2.68,https://letterboxd.com//film/hush-girls-dont-scream/
The Procedure,2016,Calvin Lee Reeder,3.05,https://letterboxd.com//film/the-procedure-2016/
Big Money Rustlas,2010,Paul Andresen,2.33,https://letterboxd.com//film/big-money-rustlas/
Blood Debts,1985,Teddy Chiu,2.64,https://letterboxd.com//film/blood-debts/
Slow Torture Puke Chamber,2010,Lucifer Valentine,1.89,https://letterboxd.com//film/slow-torture-puke-chamber/
My Mother,2019,Mustafa Kotan,2.77,https://letterboxd.com//film/my-mother-2019/
A Night to Dismember,1983,Doris Wishman,2.88,https://letterboxd.com//film/a-night-to-dismember/
Hazbin Hotel,2019,Vivienne Medrano,2.73,https://letterboxd.com//film/hazbin-hotel/
Bratz the Video: Starrin' & Stylin',2004,Nick Rijgersberg,3.08,https://letterboxd.com//film/bratz-the-video-starrin-stylin/
House Party 4: Down to the Last Minute,2001,Chris Stokes,3.39,https://letterboxd.com//film/house-party-4-down-to-the-last-minute/
Three Steps Above Heaven,2010,Fernando González Molina,2.65,https://letterboxd.com//film/three-steps-above-heaven/
Assholes,2017,Peter Vack,2.62,https://letterboxd.com//film/assholes/
Trapped in the Closet: Chapters 1-12,2005,"R. Kelly, Jim Swaffield",3.5,https://letterboxd.com//film/trapped-in-the-closet-chapters-1-12/
ThanksKilling,2008,Jordan Downey,1.97,https://letterboxd.com//film/thankskilling/
Marley & Me: The Puppy Years,2011,Michael Damian,2.13,https://letterboxd.com//film/marley-me-the-puppy-years/
The Astrologer,1975,Craig Denney,3.56,https://letterboxd.com//film/the-astrologer/
Attack on Titan,2015,Shinji Higuchi,2.56,https://letterboxd.com//film/attack-on-titan/
The Christmas Shoes,2002,Andy Wolk,2.34,https://letterboxd.com//film/the-christmas-shoes/
Wavelength,1967,Michael Snow,3.44,https://letterboxd.com//film/wavelength-1967/
Xuxa e os Duendes,2001,"Rogério Gomes, Paulo Sérgio de Almeida",2.37,https://letterboxd.com//film/xuxa-e-os-duendes/
Deliha,2014,Hakan Algul,1.95,https://letterboxd.com//film/deliha/
Big Time Movie,2012,Savage Steve Holland,2.94,https://letterboxd.com//film/big-time-movie/
Bratz: Rock Angelz,2005,Mucci Fassett,3.34,https://letterboxd.com//film/bratz-rock-angelz/
EMO the Musical,2016,Neil Triffett,2.46,https://letterboxd.com//film/emo-the-musical/
The Walking Deceased,2015,Scott Dow,2.08,https://letterboxd.com//film/the-walking-deceased/
Poolside,2012,Aaron C. Peer,2.65,https://letterboxd.com//film/poolside/
ThanksKilling 3,2012,Jordan Downey,1.71,https://letterboxd.com//film/thankskilling-3/
Endless Love,2017,Ahmet Katıksız,2.73,https://letterboxd.com//film/endless-love-2017/
Mortuary,2005,Tobe Hooper,3.18,https://letterboxd.com//film/mortuary/
October Baby,2011,"Jon Erwin, Andrew Erwin",2.54,https://letterboxd.com//film/october-baby/
Teenage Hooker Became Killing Machine,2000,Nam Gee-woong,3.02,https://letterboxd.com//film/teenage-hooker-became-killing-machine/
What Is It?,2005,Crispin Glover,2.97,https://letterboxd.com//film/what-is-it/
The Shack,2017,Stuart Hazeldine,2.69,https://letterboxd.com//film/the-shack/
Water and Fire,2013,Özcan Deniz,2.66,https://letterboxd.com//film/water-and-fire/
Tough Guys Don't Dance,1987,Norman Mailer,2.92,https://letterboxd.com//film/tough-guys-dont-dance/
The Twilight Saga: Breaking Dawn - Part 2,2012,Bill Condon,2.52,https://letterboxd.com//film/the-twilight-saga-breaking-dawn-part-2/
Illumination Presents: Minions Holiday Special,2020,Brad Ableson,2.33,https://letterboxd.com//film/illumination-presents-minions-holiday-special/
Plan Bee,2007,Michael Schelp,1.28,https://letterboxd.com//film/plan-bee/
Sword Art Online: Extra Edition,2013,Tomohiko Ito,2.45,https://letterboxd.com//film/sword-art-online-extra-edition/
August Underground's Mordum,2003,"Fred Vogel, Jerami Cruise",1.91,https://letterboxd.com//film/august-undergrounds-mordum/
Athlete Swinging a Pick,1881,Eadweard Muybridge,2.86,https://letterboxd.com//film/athlete-swinging-a-pick/
She's Too Young,2004,Tom McLoughlin,2.45,https://letterboxd.com//film/shes-too-young/
A Serbian Film,2010,Srđan Spasojević,2.17,https://letterboxd.com//film/a-serbian-film/
Mother Schmuckers,2021,"Lenny Guit, Harpo Guit",2.63,https://letterboxd.com//film/mother-schmuckers/
Among Us,2020,Marcel Becker-Neu,2.58,https://letterboxd.com//film/among-us-2020-1/
The Final Sacrifice,1990,Tjardus Greidanus,1.93,https://letterboxd.com//film/the-final-sacrifice/
Chickens Scared by Torpedo,1887,Eadweard Muybridge,2.59,https://letterboxd.com//film/chickens-scared-by-torpedo/
Container,2006,Lukas Moodysson,2.93,https://letterboxd.com//film/container/
The Hexer,2001,Marek Brodzki,3.09,https://letterboxd.com//film/the-hexer/
Showgirls,1995,Paul Verhoeven,2.89,https://letterboxd.com//film/showgirls/
i thot i wuz free,2016,Petra Cortright,3.08,https://letterboxd.com//film/i-thot-i-wuz-free/
Long Toast,2020,Karsten Runquist,3.31,https://letterboxd.com//film/long-toast/
Lady Gaga and the Muppets Holiday Spectacular,2013,Gregg Gelfand,3.12,https://letterboxd.com//film/lady-gaga-and-the-muppets-holiday-spectacular/
Final Flesh,2009,"Vernon Chatman, Ike Sanders",3.41,https://letterboxd.com//film/final-flesh/
Delibal,2015,Ali Bilgin,2.93,https://letterboxd.com//film/delibal/
Desire,2017,Diego Kaplan,2.39,https://letterboxd.com//film/desire-2017/
Plan 9 from Outer Space,1957,Edward D. Wood Jr.,2.18,https://letterboxd.com//film/plan-9-from-outer-space/
H2O Just Add Water - The Movie,2008,Jonathan M. Shiff,2.99,https://letterboxd.com//film/h2o-just-add-water-the-movie/
Southland Tales,2006,Richard Kelly,2.75,https://letterboxd.com//film/southland-tales/
Trapped in the Closet: Chapters 13-22,2007,"R. Kelly, Jim Swaffield",3.04,https://letterboxd.com//film/trapped-in-the-closet-chapters-13-22/
Thumb Wars: The Phantom Cuticle,1999,Steve Oedekerk,2.52,https://letterboxd.com//film/thumb-wars-the-phantom-cuticle/
Miami Connection,1987,"Y.K. Kim, Woo-sang Park",3.19,https://letterboxd.com//film/miami-connection/
Zaat,1971,Don Barton,1.85,https://letterboxd.com//film/zaat/
Ninja Terminator,1985,Godfrey Ho,2.55,https://letterboxd.com//film/ninja-terminator/
Philosophy of a Knife,2008,Andrey Iskanov,2.43,https://letterboxd.com//film/philosophy-of-a-knife/
Trash Humpers,2009,Harmony Korine,2.9,https://letterboxd.com//film/trash-humpers/
Dabbe 4: Cin Çarpması,2013,Hasan Karacadag,2.64,https://letterboxd.com//film/dabbe-4-cin-carpmas/
Z-O-M-B-I-E-S,2018,Paul Hoen,2.36,https://letterboxd.com//film/z-o-m-b-i-e-s/
To Save a Life,2009,Brian Baugh,2.35,https://letterboxd.com//film/to-save-a-life/
Circus of the Dead,2014,Billy Pon,2.77,https://letterboxd.com//film/circus-of-the-dead/
Death of a Nation,2018,"Dinesh D'Souza, Bruce Schooley",1.36,https://letterboxd.com//film/death-of-a-nation-2018/
Shrek in the Swamp Karaoke Dance Party,2001,"Andrew Adamson, Vicky Jenson",3.11,https://letterboxd.com//film/shrek-in-the-swamp-karaoke-dance-party/
Flatland: The Film,2007,Ladd Ehlinger Jr.,2.97,https://letterboxd.com//film/flatland-the-film/
The Adventures of Sharkboy and Lavagirl,2005,Robert Rodriguez,2.18,https://letterboxd.com//film/the-adventures-of-sharkboy-and-lavagirl/
Liberte,2019,Albert Serra,2.8,https://letterboxd.com//film/liberte/
Bratz Kidz: Sleep-Over Adventure,2007,Sean McNamara,3.21,https://letterboxd.com//film/bratz-kidz-sleep-over-adventure/
Adam,2019,Rhys Ernst,2.15,https://letterboxd.com//film/adam-2019/
Twilight,2008,Catherine Hardwicke,2.55,https://letterboxd.com//film/twilight-2008/
Dara of Jasenovac,2020,Predrag Antonijević,3.65,https://letterboxd.com//film/dara-of-jasenovac/
Three Giant Men,1973,T. Fikret Uçak,2.45,https://letterboxd.com//film/three-giant-men/
